order_id,order_date,ship_date,ship_mode,customer_id,location_id,shipping_cost,order_priority
CA-2013-155992,2013-02-10,2013-03-10,First Class,CC-12220,2200,34.6,Critical
CA-2013-156251,2013-08-14,2013-08-19,Second Class,TS-21160,3636,4.42,Medium
CA-2013-156265,2013-03-08,2013-05-08,Second Class,BF-11020,189,137.42,Critical
CA-2013-156300,2013-12-30,2014-03-01,Standard Class,TB-21595,614,59.37,Medium
CA-2013-156503,2013-10-15,2013-10-21,Standard Class,NC-18415,871,30.959999999999997,Low
CA-2013-156573,2013-05-30,2013-03-06,Standard Class,RB-19360,1216,5.140000000000001,Medium
CA-2013-156685,2013-09-07,2013-11-07,Second Class,SC-20230,1741,59.730000000000004,Medium
CA-2013-156748,2013-01-12,2013-07-12,Standard Class,BS-11755,193,85.63,Medium
CA-2013-156811,2013-10-28,2013-03-11,Standard Class,BP-11095,174,5.01,Medium
CA-2013-157000,2013-07-17,2013-07-23,Standard Class,AM-10360,2188,5.62,Medium
CA-2013-157161,2013-07-17,2013-07-21,Second Class,JD-15895,1117,23.27,Medium
CA-2013-157217,2013-07-20,2013-07-22,First Class,TC-21535,226,24.229999999999997,Medium
CA-2013-157245,2013-05-20,2013-05-25,Standard Class,LE-16810,1190,35.97,Medium
CA-2013-157259,2013-12-25,2013-12-29,Standard Class,JM-15535,131,54.04,Medium
CA-2013-157266,2013-05-27,2013-02-06,Standard Class,TB-21280,1583,5.53,Medium
CA-2013-157280,2013-06-11,2013-08-11,First Class,LW-17125,206,142.03,High
CA-2013-157336,2013-02-12,2013-06-12,Second Class,SJ-20500,897,165.72,High
CA-2013-157364,2013-11-20,2013-11-22,First Class,LT-17110,871,8.76,Critical
CA-2013-157511,2013-09-19,2013-09-21,First Class,SV-20365,182,6.66,High
CA-2013-157588,2013-07-15,2013-07-20,Standard Class,AR-10570,264,6.84,Medium
CA-2013-157686,2013-02-10,2013-03-10,First Class,BD-11620,174,0.65,High
CA-2013-157707,2013-11-10,2013-10-13,First Class,CC-12610,517,21.77,Medium
CA-2013-157714,2013-09-27,2013-02-10,Second Class,CS-12175,3820,0.63,Medium
CA-2013-157742,2013-12-30,2014-01-01,Second Class,KL-16645,1731,3.2,High
CA-2013-157749,2013-05-06,2013-10-06,Second Class,KL-16645,22,86.84,Medium
CA-2013-157763,2013-07-19,2013-07-24,Standard Class,KH-16330,2933,12.72,High
CA-2013-157791,2013-12-24,2013-12-29,Second Class,CA-11965,563,223.21,Medium
CA-2013-157868,2013-12-24,2013-12-30,Standard Class,MC-17590,2965,1.37,Medium
CA-2013-158001,2013-08-24,2013-08-28,Standard Class,JP-15460,131,58.410000000000004,Medium
CA-2013-158043,2013-01-31,2013-04-02,Second Class,JK-15325,3828,0.55,Medium
CA-2013-158099,2013-04-09,2013-06-09,First Class,PK-18910,624,191.99,Medium
CA-2013-158155,2013-03-05,2013-07-05,Standard Class,EH-13765,37,28.36,Medium
CA-2013-158211,2013-04-01,2013-08-01,Standard Class,BP-11185,624,4.7700000000000005,High
CA-2013-158260,2013-05-11,2013-09-11,Standard Class,CC-12475,120,55.37,High
CA-2013-158302,2013-09-12,2013-12-13,Second Class,JB-16045,182,1.42,High
CA-2013-158358,2013-05-03,2013-09-03,Standard Class,EM-13810,464,9.89,Medium
CA-2013-158435,2013-05-18,2013-05-19,First Class,AG-10900,1746,29.36,High
CA-2013-158547,2013-05-31,2013-05-06,Standard Class,JM-16195,3102,10.06,Medium
CA-2013-158568,2013-08-30,2013-03-09,Standard Class,RB-19465,22,18.169999999999998,Medium
CA-2013-158575,2013-11-19,2013-11-25,Standard Class,SB-20290,2866,16.2,Low
CA-2013-158610,2013-09-20,2013-09-23,First Class,CK-12595,171,9.55,Medium
CA-2013-158617,2013-09-23,2013-09-29,Standard Class,AC-10660,1131,1.71,Medium
CA-2013-158694,2013-11-11,2013-11-14,Second Class,AI-10855,906,205.38,High
CA-2013-158778,2013-06-09,2013-10-09,Standard Class,DB-13210,79,56.940000000000005,Medium
CA-2013-158806,2013-07-01,2013-11-01,Standard Class,NM-18520,33,3.5,Medium
CA-2013-158834,2013-03-14,2013-03-17,First Class,TW-21025,1886,113.03,Critical
CA-2013-158841,2013-02-02,2013-04-02,Second Class,SE-20110,1190,26.599999999999998,Critical
CA-2013-158869,2013-07-08,2013-08-08,First Class,AH-10690,1,6.34,High
CA-2013-158925,2013-10-25,2013-10-29,Standard Class,JP-15460,770,1.22,Medium
CA-2013-159009,2013-09-24,2013-09-28,Standard Class,DP-13105,53,12.24,Medium
CA-2013-159016,2013-11-03,2013-12-03,First Class,KF-16285,29,717.3299999999999,High
CA-2013-159023,2013-04-11,2013-06-11,First Class,NW-18400,1205,39.8,High
CA-2013-159142,2013-05-04,2013-06-04,First Class,ME-17320,327,35.08,High
CA-2013-159212,2013-02-11,2013-06-11,Standard Class,KM-16375,2708,29.810000000000002,High
CA-2013-159345,2013-06-18,2013-06-23,Standard Class,IG-15085,1258,17.26,High
CA-2013-159373,2013-03-14,2013-03-19,Standard Class,LT-17110,265,36.31,Medium
CA-2013-159639,2013-11-28,2013-03-12,Standard Class,PC-18745,2419,1.42,Medium
CA-2013-159653,2013-05-23,2013-05-23,Same Day,JF-15490,2403,2.46,Critical
CA-2013-159695,2013-06-04,2013-11-04,Second Class,GM-14455,425,21.89,Medium
CA-2013-159730,2013-09-18,2013-09-22,Standard Class,SJ-20125,395,12.69,Medium
CA-2013-159737,2013-04-09,2013-10-09,Standard Class,CS-11950,22,0.64,Medium
CA-2013-159765,2013-10-05,2013-05-13,Second Class,TH-21100,2708,1.98,Medium
CA-2013-159891,2013-01-31,2013-06-02,Standard Class,BF-11170,72,120.5,Medium
CA-2013-159912,2013-08-30,2013-04-09,Standard Class,GB-14530,114,34.760000000000005,Medium
CA-2013-159940,2013-08-07,2013-12-07,Second Class,BF-11020,725,20.34,Medium
CA-2013-159989,2013-10-12,2013-12-14,Standard Class,EB-13870,2355,2.84,Medium
CA-2013-160108,2013-09-12,2013-12-13,Standard Class,AG-10900,2283,69.25,Medium
CA-2013-160129,2013-11-24,2013-11-24,Same Day,LS-17200,488,24.419999999999998,High
CA-2013-160136,2013-04-11,2013-10-11,Standard Class,PJ-18835,1177,0.76,Low
CA-2013-160220,2013-10-21,2013-10-27,Standard Class,JS-16030,2096,18.98,Medium
CA-2013-160234,2013-06-27,2013-04-07,Standard Class,PF-19225,72,20.21,Low
CA-2013-160241,2013-11-30,2013-05-12,Second Class,DR-12940,725,31.26,Medium
CA-2013-160304,2013-02-01,2013-07-01,Standard Class,BM-11575,2860,35.67,Medium
CA-2013-160479,2013-09-16,2013-09-21,Standard Class,AH-10585,98,2.49,Medium
CA-2013-160486,2013-12-31,2014-05-01,Standard Class,EH-14185,3529,2.86,Medium
CA-2013-160500,2013-06-05,2013-09-05,First Class,DM-13015,2714,26.53,High
CA-2013-160535,2013-11-26,2013-01-12,Standard Class,BP-11050,1057,89.09,Medium
CA-2013-160598,2013-08-27,2013-08-29,First Class,SV-20815,1923,5.58,High
CA-2013-160717,2013-07-06,2013-12-06,Standard Class,ME-17320,629,253.03,Medium
CA-2013-160745,2013-12-12,2013-12-17,Second Class,AR-10825,2955,38.08,Medium
CA-2013-160815,2013-06-09,2013-07-09,First Class,TR-21325,2698,26.53,Medium
CA-2013-160941,2013-07-22,2013-07-27,Standard Class,DK-12835,2060,54.14,High
CA-2013-161025,2013-04-12,2013-10-12,Standard Class,GM-14440,163,53.32,Medium
CA-2013-161095,2013-06-29,2013-06-29,Same Day,CS-12250,189,8.75,High
CA-2013-161158,2013-10-05,2013-05-14,Standard Class,PS-18970,1,0.64,Medium
CA-2013-161207,2013-08-30,2013-04-09,Standard Class,AB-10060,1386,2.16,Medium
CA-2013-161361,2013-03-27,2013-03-29,Second Class,MV-17485,1749,8.77,Critical
CA-2013-161389,2013-06-12,2013-11-12,Standard Class,IM-15070,395,53.91,High
CA-2013-161473,2013-02-04,2013-06-04,Standard Class,TB-21175,131,7.84,High
CA-2013-161543,2013-11-05,2013-05-17,Standard Class,RD-19720,98,1.0,Medium
CA-2013-161662,2013-07-02,2013-09-02,First Class,BE-11410,146,10.27,Critical
CA-2013-161669,2013-08-11,2013-10-11,First Class,EM-14095,906,13.29,High
CA-2013-161676,2013-07-19,2013-07-24,Standard Class,JP-15460,829,2.67,Medium
CA-2013-161746,2013-10-22,2013-10-28,Standard Class,CS-11950,105,55.63,Medium
CA-2013-161781,2013-09-30,2013-01-10,First Class,CC-12100,989,7.51,Medium
CA-2013-161816,2013-04-29,2013-02-05,First Class,NB-18655,1177,58.93,Medium
CA-2013-161907,2013-06-04,2013-10-04,Standard Class,JH-16180,488,56.949999999999996,Medium
CA-2013-161928,2013-06-28,2013-06-30,Second Class,AC-10660,719,33.25,High
CA-2013-1620,2013-10-23,2013-10-29,Standard Class,DN-3690,2256,62.47,Medium
CA-2013-162082,2013-03-15,2013-03-18,First Class,JS-15880,2952,28.83,Medium
CA-2013-162110,2013-07-19,2013-07-23,Standard Class,NP-18670,755,5.57,Medium
CA-2013-162138,2013-04-24,2013-04-28,Standard Class,GK-14620,2116,54.06,High
CA-2013-162159,2013-09-17,2013-09-19,First Class,CR-12625,264,13.89,High
CA-2013-162187,2013-12-12,2013-12-12,Same Day,NS-18640,182,218.37,Critical
CA-2013-162222,2013-04-04,2013-04-04,Same Day,SR-20740,840,3.94,Critical
CA-2013-162236,2013-05-11,2013-07-11,Second Class,ER-13855,152,316.03,Critical
CA-2013-162313,2013-11-28,2013-01-12,First Class,VB-21745,3133,14.1,Medium
CA-2013-162348,2013-11-11,2013-11-16,Standard Class,BF-11170,9,0.95,Medium
CA-2013-162355,2013-01-07,2013-03-07,Second Class,PF-19165,450,260.84000000000003,Critical
CA-2013-162383,2013-06-09,2013-12-09,Standard Class,MD-17350,146,6.04,Medium
CA-2013-162390,2013-07-12,2013-12-13,Standard Class,DP-13105,2247,103.81,Medium
CA-2013-162404,2013-07-24,2013-07-28,Standard Class,NF-18475,819,1.1,Medium
CA-2013-162614,2013-08-10,2013-10-14,Standard Class,TB-21250,163,1.96,Low
CA-2013-162726,2013-12-28,2014-03-01,Standard Class,MT-17815,2190,2.5300000000000002,Medium
CA-2013-162733,2013-12-05,2013-05-13,First Class,TT-21070,105,0.41,Medium
CA-2013-162747,2013-03-21,2013-03-26,Second Class,AH-10030,3336,5.73,Medium
CA-2013-162901,2013-03-29,2013-01-04,First Class,AS-10045,1190,3.81,Medium
CA-2013-162943,2013-07-25,2013-07-27,Second Class,DB-12970,131,44.07,Critical
CA-2013-163048,2013-08-02,2013-02-15,Standard Class,MH-17440,136,33.38,Low
CA-2013-163153,2013-03-22,2013-03-26,Standard Class,DM-12955,136,7.22,High
CA-2013-163167,2013-11-29,2013-02-12,Second Class,RF-19345,762,349.32,Medium
CA-2013-163174,2013-08-27,2013-08-31,Standard Class,XP-21865,2403,23.84,High
CA-2013-163202,2013-09-28,2013-03-10,Standard Class,BM-11650,146,0.32,Medium
CA-2013-163216,2013-08-10,2013-11-10,First Class,AW-10930,624,0.18,High
CA-2013-163328,2013-05-11,2013-07-11,Second Class,TP-21565,2162,104.47999999999999,Medium
CA-2013-163384,2013-11-11,2013-11-13,First Class,CC-12430,174,3.84,High
CA-2013-163398,2013-04-05,2013-09-05,Standard Class,CB-12415,575,3.18,Medium
CA-2013-163573,2013-11-25,2013-11-28,First Class,AC-10450,98,152.22,High
CA-2013-163594,2013-04-13,2013-04-15,First Class,JF-15295,906,19.41,Medium
CA-2013-163636,2013-06-12,2013-10-12,Second Class,MP-18175,375,0.29,High
CA-2013-163755,2013-05-11,2013-09-11,Second Class,AS-10285,395,34.48,Medium
CA-2013-163776,2013-07-20,2013-07-26,Standard Class,JS-16030,2497,69.7,Medium
CA-2013-163804,2013-03-12,2013-09-12,Standard Class,DB-13270,171,140.05,Medium
CA-2013-163937,2013-10-01,2013-01-13,Second Class,JB-16000,3584,4.14,High
CA-2013-163951,2013-12-31,2014-03-01,First Class,CJ-11875,488,0.42,High
CA-2013-163972,2013-10-18,2013-10-22,Standard Class,MG-17890,35,8.07,Medium
CA-2013-163986,2013-04-09,2013-11-09,Standard Class,JJ-15445,3650,3.16,Medium
CA-2013-164035,2013-06-13,2013-06-18,Standard Class,CR-12730,22,1.57,Medium
CA-2013-164091,2013-09-18,2013-09-23,Standard Class,LA-16780,2356,23.21,Medium
CA-2013-164154,2013-12-09,2013-09-18,Standard Class,NZ-18565,694,4.27,Medium
CA-2013-164350,2013-11-09,2013-09-13,Second Class,CG-12040,3173,9.67,Critical
CA-2013-164399,2013-11-13,2013-11-16,First Class,DW-13480,1258,110.11,Medium
CA-2013-164483,2013-01-30,2013-03-02,Standard Class,JF-15490,174,1.67,Medium
CA-2013-164490,2013-06-09,2013-11-09,Second Class,SU-20665,575,0.5,High
CA-2013-164511,2013-11-20,2013-11-25,Standard Class,DJ-13630,1,7.83,High
CA-2013-164574,2013-07-30,2013-04-08,Standard Class,RH-19555,152,64.77,Medium
CA-2013-164637,2013-05-03,2013-09-03,Standard Class,RD-19480,2358,9.95,Medium
CA-2013-164672,2013-09-05,2013-05-14,Second Class,GB-14530,2894,20.29,Medium
CA-2013-164735,2013-04-15,2013-04-20,Second Class,TB-21400,11,9.1,Medium
CA-2013-164770,2013-03-12,2013-05-12,Second Class,MY-18295,136,54.29,High
CA-2013-164784,2013-02-05,2013-05-05,First Class,HF-14995,1472,92.33,Medium
CA-2013-164889,2013-04-06,2013-07-06,Second Class,CP-12340,163,4.46,Medium
CA-2013-164896,2013-08-11,2013-11-13,Standard Class,PS-19045,2260,0.8,Medium
CA-2013-164924,2013-11-07,2013-11-07,Same Day,EA-14035,624,27.22,Medium
CA-2013-164938,2013-11-02,2013-02-13,First Class,PB-19210,778,11.11,High
CA-2013-165015,2013-02-25,2013-02-27,Second Class,BD-11725,241,6.91,Medium
CA-2013-165148,2013-10-23,2013-10-25,First Class,PM-19135,193,10.34,Critical
CA-2013-165169,2013-06-06,2013-12-06,Standard Class,JL-15235,165,23.73,Medium
CA-2013-165218,2013-06-03,2013-12-03,Standard Class,RW-19630,1284,10.709999999999999,Low
CA-2013-165316,2013-07-24,2013-07-28,Standard Class,JB-15400,961,36.13,High
CA-2013-165330,2013-12-12,2013-12-12,Same Day,WB-21850,554,498.15,Critical
CA-2013-165470,2013-11-26,2013-01-12,Standard Class,HJ-14875,473,0.49,Medium
CA-2013-165484,2013-10-24,2013-10-30,Standard Class,HK-14890,22,10.059999999999999,Low
CA-2013-165561,2013-11-25,2013-11-29,Standard Class,CR-12580,3725,1.08,Medium
CA-2013-165673,2013-05-16,2013-05-20,Second Class,MN-17935,1342,1.75,Medium
CA-2013-165820,2013-09-27,2013-01-10,Standard Class,DW-13585,719,1.13,High
CA-2013-165827,2013-05-11,2013-10-11,Standard Class,MF-17665,657,3.11,Medium
CA-2013-165848,2013-05-06,2013-05-06,Same Day,EN-13780,131,259.99,High
CA-2013-165918,2013-11-09,2013-09-15,Standard Class,BD-11770,954,17.84,High
CA-2013-165995,2013-08-31,2013-07-09,Standard Class,BG-11740,29,29.470000000000002,Medium
CA-2013-166163,2013-08-16,2013-08-21,Second Class,CY-12745,585,2.21,Medium
CA-2013-166226,2013-11-19,2013-11-23,Standard Class,TC-21535,29,14.4,High
CA-2013-166240,2013-06-25,2013-06-29,Standard Class,DH-13075,425,0.77,Medium
CA-2013-166275,2013-10-25,2013-10-25,Same Day,SS-20590,719,35.77,High
CA-2013-166282,2013-04-17,2013-04-23,Standard Class,PK-19075,1216,11.350000000000001,Medium
CA-2013-166373,2013-10-22,2013-10-26,Standard Class,JF-15565,265,9.26,Medium
CA-2013-166380,2013-05-31,2013-04-06,Standard Class,EB-13750,1190,19.490000000000002,High
CA-2013-166429,2013-03-09,2013-09-09,Standard Class,TG-21310,608,55.42,Medium
CA-2013-166443,2013-05-11,2013-06-11,First Class,LH-17020,174,5.26,Medium
CA-2013-166485,2013-02-20,2013-02-27,Standard Class,AH-10210,1216,0.72,Medium
CA-2013-166618,2013-11-15,2013-11-19,Standard Class,DP-13000,131,2.56,Medium
CA-2013-166625,2013-04-15,2013-04-18,First Class,JM-15580,877,1.76,Medium
CA-2013-166653,2013-09-23,2013-09-25,Second Class,NP-18685,1306,7.44,High
CA-2013-166674,2013-02-04,2013-04-04,Second Class,RB-19360,1814,149.73999999999998,Critical
CA-2013-166772,2013-09-21,2013-09-25,Standard Class,HJ-14875,98,22.13,High
CA-2013-166912,2013-01-15,2013-01-17,First Class,BE-11335,37,28.78,Critical
CA-2013-1670,2013-12-12,2013-12-16,Standard Class,AS-225,2067,2.65,High
CA-2013-167115,2013-05-04,2013-10-04,Standard Class,EH-14185,131,89.0,High
CA-2013-167241,2013-08-16,2013-08-23,Standard Class,BD-11320,414,59.13,Low
CA-2013-167290,2013-10-31,2013-05-11,Standard Class,JF-15295,3498,0.47,Medium
CA-2013-167416,2013-05-13,2013-05-18,Standard Class,JM-15580,98,2.07,Medium
CA-2013-167507,2013-12-23,2013-12-29,Standard Class,SA-20830,1727,4.83,Medium
CA-2013-167556,2013-03-30,2013-03-04,Standard Class,JM-15250,37,58.309999999999995,Medium
CA-2013-167584,2013-08-13,2013-08-13,Same Day,LC-16870,1265,0.36,Critical
CA-2013-167605,2013-04-29,2013-01-05,Second Class,RB-19570,1819,2.27,Medium
CA-2013-167682,2013-04-04,2013-10-04,Standard Class,ZD-21925,1754,19.14,Medium
CA-2013-167759,2013-04-03,2013-09-03,Second Class,CC-12670,3352,8.68,High
CA-2013-167983,2013-08-22,2013-08-25,Second Class,RP-19270,53,6.12,High
CA-2013-168032,2013-01-30,2013-03-02,Standard Class,DF-13135,819,181.47,High
CA-2013-168046,2013-01-25,2013-01-28,Second Class,JD-15895,1,76.31,Medium
CA-2013-168081,2013-04-25,2013-04-28,Second Class,CA-12055,726,15.67,High
CA-2013-168354,2013-09-20,2013-09-22,First Class,RH-19510,171,689.29,High
CA-2013-168361,2013-06-22,2013-06-26,Standard Class,KB-16600,375,0.06,Medium
CA-2013-168536,2013-12-21,2013-12-25,Standard Class,SC-20800,1379,3.75,Medium
CA-2013-168543,2013-04-07,2013-08-07,Standard Class,DK-13225,131,104.38,High
CA-2013-168557,2013-09-20,2013-09-24,Standard Class,FH-14275,174,0.7,Medium
CA-2013-168753,2013-05-30,2013-02-06,Second Class,RL-19615,1002,85.02,High
CA-2013-168774,2013-05-09,2013-10-09,Standard Class,RP-19855,2050,54.57,High
CA-2013-168830,2013-08-11,2013-11-14,Standard Class,ML-17395,174,37.14,Medium
CA-2013-168844,2013-01-06,2013-07-06,Standard Class,NM-18520,407,9.28,Medium
CA-2013-168893,2013-04-11,2013-09-11,Second Class,AP-10915,17,136.13,High
CA-2013-168921,2013-10-21,2013-10-23,First Class,AG-10495,163,0.55,Medium
CA-2013-168956,2013-02-16,2013-02-20,Standard Class,EA-14035,375,13.0,Medium
CA-2013-169026,2013-09-08,2013-08-14,Standard Class,CM-12655,1379,1.85,High
CA-2013-169103,2013-09-03,2013-03-14,Standard Class,ZC-21910,1923,63.57,Medium
CA-2013-169166,2013-10-05,2013-05-15,Standard Class,SS-20590,53,9.87,High
CA-2013-169194,2013-06-21,2013-06-26,Standard Class,LH-16900,2894,4.01,Medium
CA-2013-169215,2013-07-15,2013-07-19,Second Class,RE-19450,1814,1.21,Medium
CA-2013-169334,2013-10-22,2013-10-25,Second Class,GW-14605,1516,3.41,Medium
CA-2013-169663,2013-11-03,2013-03-14,First Class,RH-19510,105,84.4,Medium
CA-2013-169670,2013-12-26,2014-01-01,Standard Class,JE-15715,37,219.15,Medium
CA-2013-169824,2013-12-13,2013-12-18,Standard Class,NS-18640,37,7.47,Medium
CA-2013-169838,2013-11-26,2013-11-30,Standard Class,BB-11545,78,97.81,Medium
CA-2013-169887,2013-10-23,2013-10-23,Same Day,MS-17530,98,44.16,Critical
CA-2013-169922,2013-12-06,2013-06-18,Standard Class,MZ-17515,1741,1.56,Medium
CA-2013-169943,2013-05-20,2013-05-25,Standard Class,BN-11515,407,36.29,Medium
CA-2013-169957,2013-09-27,2013-01-10,Standard Class,SN-20710,2792,32.28,Medium
CA-2013-169971,2013-05-09,2013-10-09,Standard Class,IL-15100,770,1.65,Medium
CA-2013-170,2013-02-09,2013-04-09,First Class,CC-2220,847,133.38,Critical
CA-2013-1710,2013-01-22,2013-01-28,Standard Class,DM-2955,1434,9.26,Medium
CA-2013-1880,2013-03-28,2013-02-04,Standard Class,SG-10080,85,7.68,High
CA-2013-2160,2013-01-05,2013-03-05,First Class,MG-8205,2067,3.01,Medium
CA-2013-2360,2013-02-20,2013-02-24,Standard Class,CD-1980,3825,0.57,Medium
CA-2013-2790,2013-01-05,2013-04-05,First Class,LS-6945,1932,43.28,Critical
CA-2013-2900,2013-06-14,2013-06-18,Standard Class,KM-6375,1851,19.24,Medium
CA-2013-3370,2013-05-15,2013-05-17,First Class,PO-9180,1434,3.81,High
CA-2013-3530,2013-09-11,2013-11-14,Standard Class,CP-2085,2520,62.660000000000004,Medium
CA-2013-3830,2013-03-30,2013-03-30,Same Day,SC-10770,85,29.14,Critical
CA-2013-3990,2013-08-17,2013-08-17,Same Day,DL-2865,399,65.79,High
CA-2013-4030,2013-08-21,2013-08-28,Standard Class,RA-9285,3074,19.74,Medium
CA-2013-4660,2013-12-16,2013-12-22,Standard Class,MK-7905,399,21.25,Medium
CA-2013-4740,2013-08-20,2013-08-23,Second Class,DB-2910,1924,79.09,High
CA-2013-4830,2013-11-13,2013-11-19,Standard Class,PF-9120,1932,20.330000000000002,Medium
CA-2013-5310,2013-06-08,2013-09-08,First Class,JF-5295,1851,15.76,High
CA-2013-5350,2013-02-05,2013-06-05,Standard Class,HK-4890,1459,8.59,Medium
CA-2013-5470,2013-10-18,2013-10-20,Second Class,NG-8430,1852,70.74,High
CA-2013-5590,2013-08-11,2013-12-11,Standard Class,TS-11085,1932,3.52,Medium
CA-2013-5920,2013-06-08,2013-12-08,Standard Class,JM-5655,2788,50.6,Medium
CA-2013-6030,2013-01-28,2013-01-02,Second Class,JS-6030,688,31.990000000000002,Medium
CA-2013-6080,2013-09-25,2013-09-29,Standard Class,TH-11550,1434,1.94,Medium
CA-2013-6170,2013-10-01,2013-12-01,First Class,GT-4755,85,31.11,Medium
CA-2013-6250,2013-08-20,2013-08-26,Standard Class,JR-6210,3459,6.74,Medium
CA-2013-6650,2013-01-01,2013-06-01,Standard Class,PB-8805,1166,1.4,Medium
CA-2013-70,2013-12-12,2013-12-18,Standard Class,TZ-11445,2256,8.28,Medium
CA-2013-7340,2013-10-06,2013-12-06,Second Class,RR-9525,2604,47.16,High
CA-2013-7580,2013-03-06,2013-08-06,Second Class,LP-7095,2764,16.89,Medium
CA-2013-7630,2013-12-08,2013-08-17,Standard Class,DB-2910,1933,35.03,Medium
CA-2013-7710,2013-01-25,2013-01-29,Standard Class,DL-3330,531,15.33,High
CA-2013-7950,2013-12-18,2013-12-20,Second Class,GH-4485,2067,70.71,High
CA-2013-800,2013-04-17,2013-04-17,Same Day,ED-3885,85,3.27,Critical
CA-2013-8120,2013-03-16,2013-03-20,Second Class,CC-2220,399,3.35,High
CA-2013-8200,2013-05-28,2013-04-06,Standard Class,DJ-3510,3097,14.85,Medium
CA-2013-8250,2013-04-02,2013-11-02,Standard Class,NG-8355,1459,0.87,Low
CA-2013-8330,2013-07-08,2013-10-08,First Class,SJ-10125,2520,3.2199999999999998,Medium
CA-2013-8350,2013-12-22,2013-12-24,Second Class,SS-10410,531,240.97000000000003,High
CA-2013-8360,2013-01-11,2013-03-11,First Class,ES-4020,1459,72.34,High
CA-2013-8420,2013-06-06,2013-06-06,Same Day,AJ-780,531,4.21,High
CA-2013-8450,2013-11-27,2013-11-30,Second Class,RW-9630,1955,2.26,High
CA-2013-8550,2013-06-05,2013-12-05,Standard Class,DW-3480,847,4.29,Low
CA-2013-8690,2013-03-28,2013-01-04,Standard Class,JP-5520,3437,7.18,Medium
CA-2013-870,2013-09-20,2013-09-23,Second Class,MD-7350,1932,0.53,Medium
CA-2013-8840,2013-07-30,2013-07-30,Same Day,AG-270,2949,35.85,Medium
CA-2013-9030,2013-04-10,2013-09-10,Standard Class,DC-2850,1166,9.940000000000001,High
CA-2013-9160,2013-07-22,2013-07-24,First Class,CC-2220,1463,8.09,High
CA-2013-9220,2013-12-19,2013-12-24,Standard Class,AM-705,1434,1.38,Medium
CA-2013-9380,2013-06-21,2013-06-25,Standard Class,CL-1890,847,5.99,Medium
CA-2013-9550,2013-02-22,2013-02-22,Same Day,NW-8400,1166,60.62,High
CA-2013-9860,2013-06-28,2013-06-30,First Class,NF-8385,85,142.73,Critical
CA-2013-9950,2013-08-20,2013-08-22,First Class,TC-11295,85,150.51,High
CA-2013-9990,2013-01-21,2013-01-21,Same Day,AB-165,1955,59.79,High
CA-2014-100013,2014-07-11,2014-12-11,Standard Class,ZC-21910,105,1.79,Medium
CA-2014-100055,2014-05-29,2014-02-06,Standard Class,MD-17860,3338,12.01,Medium
CA-2014-100097,2014-11-27,2014-11-30,Second Class,MN-17935,37,178.26,High
CA-2014-100111,2014-09-21,2014-09-27,Standard Class,SV-20365,131,478.92,Medium
CA-2014-100160,2014-08-09,2014-12-09,Standard Class,CB-12025,79,6.17,High
CA-2014-100202,2014-01-01,2014-06-01,Standard Class,BD-11620,554,24.99,Medium
CA-2014-100223,2014-06-07,2014-11-07,Standard Class,LS-16945,1284,20.700000000000003,Medium
CA-2014-100230,2014-12-12,2014-12-16,Standard Class,AA-10375,131,13.33,High
CA-2014-100237,2014-10-16,2014-10-20,Standard Class,SV-20815,1012,1.15,High
CA-2014-100314,2014-09-30,2014-06-10,Standard Class,AS-10630,1319,10.28,Medium
CA-2014-100335,2014-08-09,2014-09-14,Standard Class,NF-18595,22,5.54,Medium
CA-2014-100356,2014-10-22,2014-10-26,Standard Class,SP-20920,575,2.93,High
CA-2014-100384,2014-06-25,2014-02-07,Standard Class,NH-18610,1820,33.59,Medium
CA-2014-100412,2014-12-23,2014-12-27,Standard Class,SR-20425,3376,8.26,Medium
CA-2014-100426,2014-05-06,2014-09-06,Standard Class,DC-12850,729,1.03,Medium
CA-2014-100433,2014-12-08,2014-08-17,Standard Class,SJ-20125,37,1.01,Medium
CA-2014-100524,2014-01-04,2014-03-04,Second Class,CM-12115,407,77.47,High
CA-2014-100580,2014-08-14,2014-08-21,Standard Class,MK-17905,120,0.71,Medium
CA-2014-100601,2014-11-17,2014-11-21,Standard Class,JK-15370,35,3.31,Medium
CA-2014-100615,2014-04-21,2014-04-25,Standard Class,SJ-20215,575,33.73,Medium
CA-2014-100622,2014-04-11,2014-08-11,Standard Class,DK-13090,2232,49.199999999999996,Medium
CA-2014-100636,2014-06-27,2014-01-07,Standard Class,DO-13435,131,19.5,Medium
CA-2014-100650,2014-06-30,2014-04-07,Second Class,DK-13225,554,77.96,Medium
CA-2014-100748,2014-05-14,2014-05-21,Standard Class,RB-19795,226,5.81,Medium
CA-2014-100783,2014-05-09,2014-09-09,Second Class,JK-16120,3622,2.23,High
CA-2014-100811,2014-11-22,2014-11-25,First Class,CC-12475,624,4.88,Medium
CA-2014-100825,2014-10-09,2014-09-15,Standard Class,KD-16495,906,10.94,High
CA-2014-100902,2014-11-18,2014-11-22,Standard Class,CK-12595,152,35.77,Medium
CA-2014-100951,2014-10-06,2014-11-06,First Class,NC-18625,1177,55.4,Medium
CA-2014-1010,2014-06-08,2014-08-08,Second Class,DW-3585,1757,0.39,High
CA-2014-101014,2014-08-30,2014-05-09,Standard Class,RW-19540,163,13.93,Medium
CA-2014-101042,2014-11-20,2014-11-24,Standard Class,AB-10105,17,84.16,Medium
